ChEMBL_ID,SMILES
CHEMBL13209,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1
CHEMBL524,COc1ccc(OC)c(c1)C(O)C(C)N
CHEMBL526,CC(C)c1cccc(C(C)C)c1O
CHEMBL527,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ccccn3
CHEMBL528,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3
CHEMBL101,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL530,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
CHEMBL531,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34
CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL13828,O=C1Nc2ccccc2N1CCCN3CCN(CC3)C(c4ccccc4)c5ccccc5
CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C
CHEMBL537,Oc1ccc(O)cc1
CHEMBL539,CC(=O)O
CHEMBL541,OC(=O)c1ccccc1
CHEMBL542,Nc1ccc(cc1)C(=O)O
CHEMBL14053,OC(=O)C(Cl)(Cl)Cl
CHEMBL14060,Oc1ccccc1
CHEMBL544,COc1ccc(O)cc1
CHEMBL104,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
CHEMBL105,CO[C@]12[C@H]3N[C@H]3CN1C4=C([C@H]2COC(=O)N)C(=O)C(=C(C)C4=O)N
CHEMBL545,CCO
CHEMBL546,CC(C)NCC(O)COc1ccccc1OCC=C
CHEMBL106,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
CHEMBL547,C\C(=C\C(=O)O)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
CHEMBL14376,COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)C
CHEMBL548,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(=O)O
CHEMBL278020,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
CHEMBL14370,CCOc1ccccc1OC(C2CNCCO2)c3ccccc3
CHEMBL549,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
CHEMBL550,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O
CHEMBL107,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C
CHEMBL553,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
CHEMBL554,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
CHEMBL15023,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3cccc(c3)C(F)(F)F
CHEMBL108,NC(=O)N1c2ccccc2C=Cc3ccccc13
CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
CHEMBL109,CCCC(CCC)C(=O)O
CHEMBL277100,CC1CN(CCN1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4F
CHEMBL110,[O-][N+](=O)c1nccn1CC(=O)NCc2ccccc2
CHEMBL556,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
CHEMBL558,CC(N)COc1c(C)cccc1C
CHEMBL559,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
